Verification log – 2026-06-04 01:10:26 UTC
Execution time: 35.7s
Total proxies tested: 294
Working proxies found: 141
------------------------------------------------------------
Timestamp                   Host:Port                      Status Ping     Region
------------------------------------------------------------
2026-06-04T01:10:23.160685  172.65.38.26:9443              OK     0.003s   eu
2026-06-04T01:10:23.177294  mtproxy.neverspy.online:443    FAIL   -        eu
2026-06-04T01:10:23.179421  fresh-c.gamelande.info.:25565  OK     0.031s   eu
2026-06-04T01:10:23.189869  bomberoo.shop:25565            OK     0.036s   eu
2026-06-04T01:10:23.192555  iran.quickdl.info.:443         FAIL   -        eu
2026-06-04T01:10:23.196813  lte.opsna.ru:8443              FAIL   -        eu
2026-06-04T01:10:23.210334  ytrw134-1.mtproxygram.lol:853  FAIL   -        ru
2026-06-04T01:10:23.210619  2.telbet.lol:25565             OK     0.067s   eu
2026-06-04T01:10:23.241049  new.sitemcinet.co.uk:443       OK     0.03s    eu
2026-06-04T01:10:23.241383  3.telbet.lol:25565             OK     0.09s    eu
2026-06-04T01:10:23.243102  94.183.219.141:443             OK     0.103s   eu
2026-06-04T01:10:23.244163  195.254.165.12:4455            OK     0.104s   eu
2026-06-04T01:10:23.244856  87.248.129.223:4455            OK     0.104s   eu
2026-06-04T01:10:23.246247  195.254.165.251:25565          FAIL   -        eu
2026-06-04T01:10:23.247919  87.248.129.240:25565           FAIL   -        eu
2026-06-04T01:10:23.248563  167.233.31.83:8443             OK     0.109s   eu
2026-06-04T01:10:23.249457  87.248.129.210:4455            OK     0.104s   eu
2026-06-04T01:10:23.249526  87.248.129.200:25565           OK     0.104s   eu
2026-06-04T01:10:23.249540  87.248.132.2:443               FAIL   -        eu
2026-06-04T01:10:23.250146  87.248.129.12:15               OK     0.104s   eu
2026-06-04T01:10:23.250603  91.107.255.20:2053             FAIL   -        eu
2026-06-04T01:10:23.252422  87.248.129.132:16              OK     0.109s   eu
2026-06-04T01:10:23.255226  91.217.166.12:40               OK     0.095s   eu
2026-06-04T01:10:23.255364  87.248.129.50:15               FAIL   -        eu
2026-06-04T01:10:23.255530  87.248.129.13:15               OK     0.104s   eu
2026-06-04T01:10:23.256390  195.254.165.2:8443             OK     0.106s   eu
2026-06-04T01:10:23.256876  178.105.218.231:8443           FAIL   -        eu
2026-06-04T01:10:23.257645  pitzamamad9.ir:25565           OK     0.113s   eu
2026-06-04T01:10:23.259338  185.224.3.209:80               OK     0.117s   eu
2026-06-04T01:10:23.259757  87.248.129.35:16               OK     0.104s   eu
2026-06-04T01:10:23.261417  91.107.246.35:443              OK     0.107s   eu
2026-06-04T01:10:23.262720  91.107.240.187:8443            OK     0.108s   eu
2026-06-04T01:10:23.265263  178.105.226.11:8443            OK     0.111s   eu
2026-06-04T01:10:23.266122  23.88.51.230:443               OK     0.11s    eu
2026-06-04T01:10:23.266409  167.233.20.112:61016           OK     0.109s   eu
2026-06-04T01:10:23.268083  heart.nolags.pw:443            OK     0.124s   eu
2026-06-04T01:10:23.271748  He.jlpoKcu.cloud:443           OK     0.124s   ru
2026-06-04T01:10:23.274756  95.216.191.201:443             OK     0.13s    eu
2026-06-04T01:10:23.276404  65.109.245.52:7980             OK     0.133s   eu
2026-06-04T01:10:23.277976  65.109.146.207:443             FAIL   -        eu
2026-06-04T01:10:23.280095  95.216.41.97:443               OK     0.138s   eu
2026-06-04T01:10:23.282797  mtp.webvirt.cloud:443          OK     0.143s   eu
2026-06-04T01:10:23.285625  37.27.6.238:155                OK     0.13s    eu
2026-06-04T01:10:23.289922  sitemcinet.co.uk:443           OK     0.14s    eu
2026-06-04T01:10:23.290530  37.27.23.25:155                FAIL   -        eu
2026-06-04T01:10:23.292832  ytrw134-3.mtproxygram.lol:853  FAIL   -        ru
2026-06-04T01:10:23.303976  Roo3beh.telbet.lol:25565       OK     0.155s   eu
2026-06-04T01:10:23.309588  45.135.194.28:37               FAIL   -        eu
2026-06-04T01:10:23.313410  s11.neo-trading.org:993        FAIL   -        eu
2026-06-04T01:10:23.314199  195.254.165.247:25565          FAIL   -        eu
2026-06-04T01:10:23.314357  Team.hafthashtgswreqetdgsrwrpi-esoiiisolfnwfsksjvwu-urishklfduiwoehv.info.:6773 FAIL   -        eu
2026-06-04T01:10:23.321102  Ashkoda-Best.gabrial-batistuta.shop:443 FAIL   -        eu
